COURSE,DEPARTMENT,COURSEID,CLASSNBR,TOTALENROLLMENT,GSAS,HCOL,NONDGR,VUS,XREG
AESTHINT   13,GENED,123834.0,13038.0,51.0,,48.0,1.0,1.0,1.0
AESTHINT   24,GENED,110744.0,10514.0,198.0,,198.0,,,
AESTHINT   33,GENED,124912.0,14909.0,27.0,,27.0,,,
AESTHINT   37,GENED,126284.0,13724.0,77.0,,77.0,,,
AESTHINT   39,GENED,124661.0,13235.0,37.0,,37.0,,,
AESTHINT   40,GENED,126634.0,14002.0,31.0,2.0,29.0,,,
AESTHINT   42,GENED,125749.0,16589.0,47.0,,47.0,,,
AESTHINT   57,GENED,109501.0,16350.0,187.0,,186.0,,,1.0
AESTHINT   64,GENED,146214.0,15400.0,29.0,,29.0,,,
AFRAMER   16,AAAS,125925.0,13603.0,15.0,,15.0,,,
AFRAMER   20,AAAS,118883.0,12379.0,51.0,,51.0,,,
AFRAMER   90R,AAAS,118965.0,12457.0,1.0,1.0,,,,
AFRAMER   90R.A,AAAS,126300.0,13738.0,6.0,1.0,1.0,,,4.0
AFRAMER   90R.A1,AAAS,109427.0,10315.0,11.0,2.0,8.0,,,1.0
AFRAMER   90R.A2,AAAS,110272.0,10889.0,2.0,2.0,,,,
AFRAMER   90R.A4,AAAS,110410.0,15730.0,2.0,,1.0,,,1.0
AFRAMER   90R.A5,AAAS,156750.0,15734.0,6.0,,6.0,,,
AFRAMER   90R.A6,AAAS,159663.0,15735.0,1.0,,,,,1.0
AFRAMER   90R.B,AAAS,126301.0,13739.0,1.0,,1.0,,,
AFRAMER   90R.C,AAAS,126302.0,13740.0,1.0,,1.0,,,
AFRAMER   90R.D,AAAS,126303.0,13741.0,1.0,1.0,,,,
AFRAMER   90R.G,AAAS,126306.0,13746.0,7.0,,6.0,,,1.0
AFRAMER   90R.H,AAAS,126307.0,13747.0,1.0,,,,,1.0
AFRAMER   90R.I,AAAS,126308.0,13748.0,13.0,,12.0,,,1.0
AFRAMER   90R.J,AAAS,126309.0,13750.0,1.0,1.0,,,,
AFRAMER   90R.K,AAAS,126310.0,13751.0,2.0,,2.0,,,
AFRAMER   90R.M,AAAS,126312.0,13753.0,2.0,,1.0,1.0,,
AFRAMER   90R.N,AAAS,126313.0,13754.0,1.0,,1.0,,,
AFRAMER   90R.O,AAAS,126314.0,13757.0,2.0,1.0,,,,1.0
AFRAMER   90R.Q,AAAS,126316.0,13759.0,26.0,1.0,24.0,,,1.0
AFRAMER   90R.U,AAAS,127929.0,14086.0,2.0,1.0,1.0,,,
AFRAMER   90R.V,AAAS,127934.0,14090.0,1.0,1.0,,,,
AFRAMER   90R.X,AAAS,107773.0,15737.0,1.0,1.0,,,,
AFRAMER   90R.Z,AAAS,109290.0,11785.0,2.0,,2.0,,,
AFRAMER   91R,AAAS,110605.0,10194.0,1.0,,1.0,,,
AFRAMER   98,AAAS,118023.0,12526.0,1.0,,1.0,,,
AFRAMER   99A,AAAS,124132.0,14992.0,2.0,,2.0,,,
AFRAMER  103X,AAAS,156113.0,15571.0,4.0,,3.0,,,1.0
AFRAMER  105X,AAAS,156327.0,14571.0,9.0,3.0,6.0,,,
AFRAMER  111,AAAS,126698.0,14061.0,12.0,4.0,8.0,,,
AFRAMER  117Y,AAAS,110493.0,11087.0,90.0,,90.0,,,
AFRAMER  118,AAAS,144199.0,13497.0,19.0,,18.0,,,1.0
